number,name,name_object,date,author,address,district,protection_category,base,note,id_object
7531,Летний сад,"Фонтан ""Нарцисс"" (фундаменты)",1720-х нач.; 1786 (засыпан),,Боскет у Летнего дворца,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8721
7532,Летний сад,"Фонтан ""Ла-Коста"" (фундаменты)",1720-х нач.; 1786 (засыпан),,Газон перед Кофейным домиком,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8720
7533,Летний сад,"Фонтан ""Фаворитка"" (фундаменты)",1725-1727; 1786 (засыпан),арх. Земцов М.Г.,Газон перед Кофейным домиком,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8725
7534,Летний сад,Оранжерея Большая (фундаменты),1715; 1786 (засыпаны),арх. Шлютер А.,"Газон у Главной аллеи, часть территории хозяйственного двора",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8614
7535,Летний сад,Бюст Марцелла,18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,Главная алеея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8642
7536,Летний сад,Бюст Камиллы,1719-1720; 18 в. сер. (постамент),ск. Баратта П.,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8636
7537,Летний сад,"Бюст ""Марс""",18 в. нач.; 18 в. сер. (постамент),ск. Маринали О.,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8641
7538,Летний сад,Бюст Нерона,18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8648
7539,Летний сад,"Бюст ""Сивилла Эритрейская""",1716-1717; 18 в. сер. (постамент),ск. Модоло Б.,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8655
7540,Летний сад,"Бюст ""Скоротечность жизни""",18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8656
7541,Летний сад,"Бюст ""Чистота""","18 в. нач., 18 в. сер. (постамент)",,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8663
7542,Летний сад,"Статуя ""Аполлон Бельведерский"" (копия с оригинала ск. Леохара)","19 в., 1835 (постамент)","копия с оригинала ск. Леохара, арх. Виллерс П.Л.",Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8678
7543,Летний сад,"Статуя ""Беллона""",около 1720; 18 в. кон. (постамент),ск. Тальяпьетра А.,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8680
7544,Летний сад,"Статуя ""Диана"" (копия с оригинала Леохара)","18 в. кон., 1835 (постамент)","копия с оригинала ск. Леохара, арх. Виллерс П.Л.",Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8683
7545,Летний сад,"Статуя ""Минерва""",17 в. кон.; 18 в. кон. (постамент),ск. Квеллинус Т.,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8691
7546,Летний сад,"Статуя ""Сатурн""",1716-1717; 18 в. кон. (постамент),ск. Пенсо Ф. (Кабианка),Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8702
7547,Летний сад,"Статуя ""Слава""",1719; 18 в. кон. (постамент),ск. Баратта П.,Главная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8706
7548,Летний сад,"Бюст ""Изобилие""",1719-1720; 18 в. сер. (постамент),ск. Баратта П.,"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8635
7549,Летний сад,Бюст курфюрстины Бранденбургской,"18 в. нач., 18 в. сер. (постамент)",,"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8639
7550,Летний сад,"Бюст ""Флора""",18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8662
7551,Летний сад,"Статуя ""Архитектура""",1720-1722; 18 в. нач. (постамент),неизв. итальян. ск.,"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8679
7552,Летний сад,"Статуя ""Вертумн""",1716-1717; 18 в. нач. (постамент),ск. Пенсо Ф. (Кабианка),"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8682
7553,Летний сад,"Статуя ""Мореплавание""",1720-1722; 18 в. нач. (постамент),неизв. итальян. ск.,"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8692
7554,Летний сад,"Статуя ""Помона""",1716-1717; 18 в. нач. (постамент),ск. Пенсо Ф. (Кабианка),"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8699
7555,Летний сад,"Статуя ""Флора""",1716-1717; 18 в. нач. (постамент),ск. Мейринг Г.,"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8710
7556,Летний сад,"Статуя ""Церера""",17 в. кон.; 18 в. кон. (постамент),ск. Квеллинус Т.,"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8711
7557,Летний сад,Фонтан Гербовый (фундаменты),1720; 1786 (засыпан),арх. Микетти Н.,"Главная аллея, вторая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8718
7558,Летний сад,Бюст Александра Македонского,1719-1720; 18 в. сер. (постамент),ск. Баратта П.,"Главная аллея, первая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8622
7559,Летний сад,Бюст Марции Фурниллы,1716-1717; 18 в. сер. (постамент),ск. Пенсо Ф. (Кабианка),"Главная аллея, первая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8643
7560,Летний сад,"Бюст ""Мир""",1719-1720; 18 в. сер. (постамент),ск. Баратта П.,"Главная аллея, первая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8645
7561,Летний сад,Бюст Юлия Цезаря,18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,"Главная аллея, первая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8665
7562,Летний сад,"Статуя ""Немезида""",1716-1717; 18 в. кон. (постамент),ск. Тарсиа А.,"Главная аллея, первая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8693
7563,Летний сад,"Статуя ""Рок""",1716-1717; 18 в. кон. (постамент),ск. Тарсиа А.,"Главная аллея, первая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8701
7564,Летний сад,Фонтан (фундаменты),1706-1708; 1786 (засыпан),,"Главная аллея, первая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8715
7565,Летний сад,"Статуя ""Искренность""",1716-1717; 18 в. нач. (постамент),ск. Гропелли М.,"Главная аллея, третья площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8687
7566,Летний сад,"Статуя ""Истина""",1716-1717; 18 в. нач. (постамент),ск. Гропелли М.,"Главная аллея, третья площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8688
7567,Летний сад,"Статуя ""Милосердие""",1719; 18 в. нач. (постамент),ск. Баратта П.,"Главная аллея, третья площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8690
7568,Летний сад,"Статуя ""Правосудие""",1719; 18 в. нач. (постамент),ск. Баратта П.,"Главная аллея, третья площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8700
7569,Летний сад,Фонтан (фундаменты),1706-1708; 1786 (засыпан),,"Главная аллея, третья площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8716
7570,Летний сад,"Статуя ""Аврора""",1716-1717; 18 в. нач. (постамент),ск. Бонацца Д.,"Главная аллея, четвертая аллея",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8676
7571,Летний сад,Бюст Коринны,"18 в. нач., 1748 (постамент)",,"Главная аллея, четвертая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8637
7572,Летний сад,Бюст Мидаса,18 в. нач.; 1748 (постамент),ск. Маринали О.,"Главная аллея, четвертая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8644
7573,Летний сад,"Бюст ""Солнце""",1716-1717; 18 в. сер. (постамент),ск. Баратта П.,"Главная аллея, четвертая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8658
7574,Летний сад,Бюст юноши,1719-1720; 18 в. сер. (постамент),ск. Баратта П.,"Главная аллея, четвертая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8666
7575,Летний сад,"Статуя ""Закат""",1716-1717; 18 в. нач. (постамент),ск. Бонацца Д.,"Главная аллея, четвертая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8686
7576,Летний сад,"Статуя ""Ночь""",1716-1717; 18 в. нач. (постамент),ск. Бонацца Д.,"Главная аллея, четвертая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8697
7577,Летний сад,"Статуя ""Полдень""",1716-1717; 18 в. нач. (постамент),ск. Бонацца Д.,"Главная аллея, четвертая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8698
7578,Летний сад,"Фонтан ""Пирамида"" (фундаменты)","1723, 1728 (перестройка); 1786 (засыпан)",арх. Земцов М.Г.,"Главная аллея, четвертая площадка",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8724
7579,Летний сад,"Бюст ""Амазонка""",18 в. нач.; 18 в. сер. (постамент),,Дворцовая аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8623
7580,Летний сад,Бюст Веспасиана,18 в. нач.; 18 в. сер. (постамент),ск. Пенсо Ф. (Кабианка),Дворцовая аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8627
7581,Летний сад,"Бюст ""День""",18 в. нач.; 18 в. сер. (постамент),ск. Тарсиа А.,Дворцовая аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8631
7582,Летний сад,Бюст Марии-Казимиры,17 в. кон.; 18 в. сер. (постамент),неизв. итальян. ск.,Дворцовая аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8640
7583,Летний сад,Бюст римского императора,18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,Дворцовая аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8652
7584,Летний сад,Бюст Тита,1716-1717; 18 в. сер. (постамент),ск. Пенсо Ф. (Кабианка),Дворцовая аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8660
7585,Летний сад,Бюст юноши,18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,Дворцовая аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8667
7586,Летний сад,Бюст Яна Собесского,17 в. кон.; 18 в. сер. (постамент),неизв. итальян. ск.,Дворцовая аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8668
7587,Летний сад,Ограда,1771-1784; 1830; 1931,"арх. Егоров П.Е., арх. Фельтен Ю.М.; арх. Шарлемань Л.И.",Дворцовая наб.,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8613
7588,Летний сад,Памятник баснописцу Крылову И.А.,1855,"ск. Клодт П.К., худ. Агин А.А.","Дворцовая наб., Лебяжьего кан. наб., Фонтанки р. наб., Мойки р. наб.",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8616
7589,Летний сад,Сад,1704-1730-е,"Петр 1 (план), арх. Земцов М.Г., арх. Леблон Ж.-Б., арх. Матвеев И.М., арх. Растрелли Ф.-Б., сад. мастер Роозен Я., сад. мастер Сурмин И.","Дворцовая наб., Лебяжьего кан. наб., Фонтанки р. наб., Мойки р. наб.",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8620
7590,Летний сад,Чайный домик,1827; 1981-1983 (восстановление),арх. Шарлемань Л.И.,К югу от Летнего дворца,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8726
7591,Летний сад,Терраса,1799,арх. Пильников Г.П.,Лебяжий канал,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8621
7592,Летний сад,"Скульптурная группа ""Амур и Психея""",17 в. кон.; 1967 (постамент),ск. Картари Д.,"Лебяжий канал, каменная терраса",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8671
7593,Летний сад,Треножники чугунные с вазой (четыре),1820-е,арх. Росси К.И.,"Лебяжий канал, на каменной террасе",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8714
7594,Летний сад,Палаты Новые (Летний дворец Екатерины I) (фундаменты),1721-1723; 1778 (засыпаны),арх. Ван Звиттен С.,"Лебяжьего кан. наб., Дворцовая аллея",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8615
7595,Летний сад,"Ваза, (под руководством Экстрема И.Э.), ск. Демут-Малиновский В.И. (постамент)",1839,"под руководством Экстрема И.Э., ск. Демут-Малиновский В.И.","Летний сад, у Карпиева пруда",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8669
7596,Летний сад,Ограда,1826; 1829,арх. Шарлемань Л.И.,Мойки р. наб.,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8612
7597,Летний сад,"Бюст ""Сивилла Самосская""",1716-1717; 18 в. сер. (постамент),ск. Модоло Б.,Невская аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8654
7598,Летний сад,Бюст Тиберия,1716-1717; 18 в. сер. (постамент),ск. Пенсо Ф. (Кабианка),Невская аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8659
7599,Летний сад,Бюст Траяна,18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,Невская аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8661
7600,Летний сад,"Статуя ""Сивилла Дельфийская""",1719; 18 в. кон. (постамент),"ск. Бонацца Д., ск. Бонацца Т.",Невская аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8703
7601,Летний сад,"Статуя ""Сивилла Европейская""",1716-1717; 18 в. кон. (постамент),ск. Зорзони Д.,Невская аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8704
7602,Летний сад,"Статуя ""Сивилла Ливийская""",1716-1717; 18 в. кон. (постамент),ск. Зорзони Д.,Невская аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8705
7603,Летний сад,"Скульптурная группа ""Мир и Победа"" (""Ништадтский мир"")",1723-1725; 1967 (постамент),ск. Баратта П.,Партер у северного фасада дворца,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8672
7604,Летний сад,Бюст Аристотеля,18 в. нач.; 18 в. сер. (постамент),ск. Маринали О.,"Партер, северная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8625
7605,Летний сад,Бюст Гераклита,18 в. нач.; 18 в. сер. (постамент),ск. Маринали О.,"Партер, северная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8628
7606,Летний сад,"Бюст ""Двуликий Янус""",18 в. кон.,,"Партер, северная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8629
7607,Летний сад,Бюст Демокрита,18 в. нач.; 18 в. сер. (постамент),ск. Маринали О.,"Партер, северная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8630
7608,Летний сад,Бюст Диогена,18 в. нач.; 18 в. сер. (постамент),ск. Маринали О.,"Партер, северная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8632
7609,Летний сад,Бюст Сенеки,18 в. нач.; 18 в. сер. (постамент),ск. Маринали О.,"Партер, северная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8653
7610,Летний сад,Бюст Эскулапа,18 в. нач.; 18 в. сер. (постамент),ск. Маринали О.,"Партер, северная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8664
7611,Летний сад,"Бюст ""Аполлон""",18 в. нач.; 18 в. сер. (постамент),ск. Маринали О.,"Партер, южная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8624
7612,Летний сад,Бюст вельможи,"18 в. нач., 18 в. сер. (постамент)",,"Партер, южная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8626
7613,Летний сад,Бюст женщины в розовой драпировке,"18 в. нач., 18 в. сер. (постамент)",,"Партер, южная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8633
7614,Летний сад,Бюст курфюрста Бранденбургского,"18 в. нач., 18 в. сер. (постамент)",,"Партер, южная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8638
7615,Летний сад,Бюст молодой женщины (римлянки),1719-1720; 18 в. сер. (постамент),ск. Баратта П.,"Партер, южная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8646
7616,Летний сад,"Бюст ""Осень""",1716-1717; 18 в. сер. (постамент),ск. Баратта П.,"Партер, южная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8649
7617,Летний сад,"Скульптурная группа ""Сатир и вакханка""",18 в. кон.,неизв. итальян. ск.,"Партер, южная часть",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8673
7618,Летний сад,Вазы (две),1827,арх. Шарлемань Л.И.,У Кофейного домика,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8670
7619,Летний сад,Фонтан (фундаменты),1720-х нач.; 1786 (засыпан),,У каменной террасы на Лебяжьем канале,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8717
7620,Летний сад,Кофейный домик,1714-1723-грот; 1826,"арх. Маттарнови Г.-И., арх. Микетти Н.; арх. Росси К.И., ск. Демут-Малиновский В.И.",Фонтанки р. наб.,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8610
7621,Летний сад,Летний дворец Петра I,1710-1714,"арх. Трезини Д., арх. Шлютер А.",Фонтанки р. наб.,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8611
7622,Летний сад,Гаванец (фундаменты),"1705, 1780 (засыпан)",,"Фонтанки р. наб., у южного фасада Летнего дворца",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8607
7623,Летний сад,Бюст женщины в серой драпировке,"18 в. нач., 18 в. сер. (постамент)",,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8634
7624,Летний сад,Бюст молодой женщины (римлянки),18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8647
7625,Летний сад,Бюст римлянки в чалме,18 в. нач.; 18 в. сер. (постамент),неизв. итальян. ск.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8651
7626,Летний сад,"Статуя ""Антиной""",1720-1722; 18 в. кон. (постамент),неизв. итальян. ск.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8677
7627,Летний сад,"Статуя ""Вакх""",18 в. нач.; 18 в. кон. (постамент),неизв. итальян. ск.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8681
7628,Летний сад,"Статуя ""Евтерпа""",1720-1722; 18 в. кон. (постамент),"ск. Гропелли Д., ск. Гропелли П.",Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8684
7629,Летний сад,"Статуя ""Женщина с гирляндой роз""",18 в. нач.; 18 в. кон. (постамент),неизв. итальян. ск.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8685
7630,Летний сад,"Статуя ""Красота""",18 в. нач.; 18 в. кон. (постамент),ск. Зорзони Д.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8689
7631,Летний сад,"Статуя ""Нереида""",1716-1717; 20 в. сер. (постамент),ск. Коррадини А.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8694
7632,Летний сад,"Статуя ""Нимфа воздуха""",1716-1717; 18 в. кон. (постамент),"ск. Гропелли Д., ск. Гропелли П.",Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8695
7633,Летний сад,"Статуя ""Нимфа"" (""Флора"")",17 в. кон.; 18 в. кон. (постамент),ск. Квеллинус Т.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8696
7634,Летний сад,"Статуя ""Сладострастие""",1720-1722; 1749 (постамент),неизв. итальян. ск.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8707
7635,Летний сад,"Статуя ""Талия""",1718-1719; 18 в. кон. (постамент),"ск. Гропелли Д., ск. Гропелли П.",Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8708
7636,Летний сад,"Статуя ""Терпсихора""",1720-1722; 18 в. кон. (постамент),"ск. Гропелли Д., ск. Гропелли П.",Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8709
7637,Летний сад,"Статуя ""Юность""",1720-1722; 18 в. кон. (постамент),ск. Тарсиа А.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8712
7638,Летний сад,Статуя юноши,18 в. нач.; 18 в. кон. (постамент),неизв. итальян. ск.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8713
7639,Летний сад,"Скульптурная группа ""Похищение сабинянки"" (две)",18 в. сер.; 1835 (постамент),арх. Виллерс П.Л.,Школьная аллея,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10817
7640,Летний сад,Пруд Карпиев,"1714-1716, 1961-1962",,Южная часть сада,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8617
7641,,Александровская колонна,1830-1834,"арх. Монферран О.Р., ск. Леппе И., ск. Орловский Б.И., ск. Свинцов П.В., худ. Скотти Д.Б.",Дворцовая пл.,Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8501
7642,,Штаб Гвардейского корпуса,1837-1843,арх. Брюллов А.П.,"Дворцовая пл., 2-4; Миллионная ул., 40",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8502
7643,,Главный штаб и Министерства,1819-1829; 1829; 1845-1846,"арх. Росси К.И., ск. Пименов С.С., ск. Демут-Малиновский В.И.; арх. Черник И.Д.","Дворцовая пл., 6, 8, 10; Невский пр., 2; Большая Морская ул., 1, 2; Мойки р. наб., 39-47",Центральный,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8503
7644,,Дом А.В. Барсовой,1912,гражд. инж. А.Ф. Бубырь,"Дегтярный пер., 18; Заячий пер., 6",Центральный,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,9399
7645,,Дом Н.Н. Кузнецова (Лештуковская паровая скоропечатня),1855,арх. Е.Е. Аникин,"Джамбула пер., 13",Центральный,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,9400
